Marketing_authorisation_number,Procedure_number,Drug_name,Non_proprietary_name,Marketing_authorisation_holder,Drug_class,Pharmaceutical_form,Administration_route,Decision,Current_status,Decision_date,Decision_year,Orphan_drug_status,Indication_extended,Indication_requested,Indication_approved,Disease_class(es),Application_date,Application_year,Nonclinical_abridged,Referral_body,Document_name,Agency,Indications_and_usage,Origin,Referral,Marketing_authorisation_holder_extracted,Disease_name(s),DRUG_CODE
02478587,,amlodipine,amlodipine (amlodipine besylate),sanis health inc,small molecule,tablet,oral,approved,approved,11.07.2018,2018,,,,,,,,,,,HealthCanada,,,,sanis,,96905
02478293,,soliqua,lixisenatide; insulin glargine,sanofi-aventis canada inc,peptides and proteins,solution,subcutaneous,approved,approved,06.07.2018,2018,,,,,,,,,,,HealthCanada,,,,sanofi-aventis,,96906
02478307,,teva-dasatinib,dasatinib (dasatinib monohydrate),teva canada limited,small molecule,tablet,oral,approved,approved,14.04.2020,2020,,,,,,,,,,,HealthCanada,,,,teva,,96907
02478315,,teva-dasatinib,dasatinib (dasatinib monohydrate),teva canada limited,small molecule,tablet,oral,approved,approved,14.04.2020,2020,,,,,,,,,,,HealthCanada,,,,teva,,96908
02478323,,teva-dasatinib,dasatinib (dasatinib monohydrate),teva canada limited,small molecule,tablet,oral,approved,approved,14.04.2020,2020,,,,,,,,,,,HealthCanada,,,,teva,,96909
02478331,,teva-dasatinib,dasatinib (dasatinib monohydrate),teva canada limited,small molecule,tablet,oral,approved,approved,14.04.2020,2020,,,,,,,,,,,HealthCanada,,,,teva,,96910
02478358,,teva-dasatinib,dasatinib (dasatinib monohydrate),teva canada limited,small molecule,tablet,oral,approved,approved,14.04.2020,2020,,,,,,,,,,,HealthCanada,,,,teva,,96911
02478366,,sodium iodide i-123 oral solution,sodium iodide 123 i,bwxt medical ltd.,other,solution,oral,approved,approved,29.06.2018,2018,,,,,,,,,,,HealthCanada,,,,bwxt,,96912
02478374,,erleada,apalutamide,janssen inc,small molecule,tablet,oral,approved,approved,03.07.2018,2018,,,,,,,,,,,HealthCanada,,,,janssen,,96913
02478382,,truxima,rituximab,celltrion inc.,biologics,solution,intravenous,approved,approved,04.04.2019,2019,,,,,,,,,,,HealthCanada,,,,celltrion,,96914
02478390,,truxima,rituximab,celltrion inc.,biologics,solution,intravenous,approved,approved,04.04.2019,2019,,,,,,,,,,,HealthCanada,,,,celltrion,,96915
02478404,,auro-efavirenz-emtricitabine-tenofovir,efavirenz; emtricitabine; tenofovir disoproxil fumarate,auro pharma inc,small molecule,tablet,oral,approved,approved,04.07.2018,2018,,,,,,,,,,,HealthCanada,,,,auro,,96916
02478501,,auro-silodosin,silodosin,auro pharma inc,small molecule,capsule,oral,approved,approved,15.06.2021,2021,,,,,,,,,,,HealthCanada,,,,auro,,96929
02478528,,auro-silodosin,silodosin,auro pharma inc,small molecule,capsule,oral,approved,approved,15.06.2021,2021,,,,,,,,,,,HealthCanada,,,,auro,,96930
02478544,,ezetimibe,ezetimibe,laboratoire riva inc.,small molecule,tablet,oral,approved,approved,11.07.2018,2018,,,,,,,,,,,HealthCanada,,,,riva,,96932
02478579,,biktarvy,bictegravir (bictegravir sodium); tenofovir alafenamide (tenofovir alafenamide hemifumarate); emtricitabine,gilead sciences canada inc,small molecule,tablet,oral,approved,approved,10.07.2018,2018,,,,,,,,,,,HealthCanada,,,,gilead,,96935
02478595,,jamp-cholestyramine,cholestyramine resin,jamp pharma corporation,other,powder,oral,approved,approved,13.07.2018,2018,,,,,,,,,,,HealthCanada,,,,jamp,,96937
02478757,,sleep-eze extra strength minis,diphenhydramine hydrochloride,medtech products inc,small molecule,tablet,oral,approved,approved,11.07.2018,2018,,,,,,,,,,,HealthCanada,,,,medtech,,96950
02478765,,panhematin,hemin,recordati rare diseases canada inc,small molecule,powder,intravenous,approved,approved,13.07.2018,2018,,,,,,,,,,,HealthCanada,,,,recordati,,96951
02478862,,accel-leflunomide,leflunomide,accel pharma inc,small molecule,tablet,oral,approved,approved,18.07.2018,2018,,,,,,,,,,,HealthCanada,,,,accel,,96957
02478870,,accel-leflunomide,leflunomide,accel pharma inc,small molecule,tablet,oral,approved,approved,18.07.2018,2018,,,,,,,,,,,HealthCanada,,,,accel,,96958
02478889,,sandoz morphine sr,morphine sulfate,sandoz canada incorporated,small molecule,tablet,oral,approved,approved,13.07.2018,2018,,,,,,,,,,,HealthCanada,,,,sandoz,,96959
02478900,,auro-cinacalcet,cinacalcet (cinacalcet hydrochloride),auro pharma inc,small molecule,tablet,oral,approved,approved,16.10.2018,2018,,,,,,,,,,,HealthCanada,,,,auro,,96960
02478897,,sandoz morphine sr,morphine sulfate,sandoz canada incorporated,small molecule,tablet,oral,approved,approved,13.07.2018,2018,,,,,,,,,,,HealthCanada,,,,sandoz,,96961
02478919,,auro-cinacalcet,cinacalcet (cinacalcet hydrochloride),auro pharma inc,small molecule,tablet,oral,approved,approved,16.10.2018,2018,,,,,,,,,,,HealthCanada,,,,auro,,96962
02478927,,accel-ondansetron,ondansetron (ondansetron hydrochloride dihydrate),accel pharma inc,small molecule,tablet,oral,approved,approved,18.07.2018,2018,,,,,,,,,,,HealthCanada,,,,accel,,96963
02478935,,accel-ondansetron,ondansetron (ondansetron hydrochloride dihydrate),accel pharma inc,small molecule,tablet,oral,approved,approved,18.07.2018,2018,,,,,,,,,,,HealthCanada,,,,accel,,96964
02478943,,auro-cinacalcet,cinacalcet (cinacalcet hydrochloride),auro pharma inc,small molecule,tablet,oral,approved,approved,16.10.2018,2018,,,,,,,,,,,HealthCanada,,,,auro,,96965
02479281,,phenylephrine hydrochloride injection usp 1%,phenylephrine hydrochloride,mont-pharma inc,small molecule,solution,subcutaneous; intravenous; intramuscular,approved,approved,23.07.2018,2018,,,,,,,,,,,HealthCanada,,,,mont,,96967
02478986,,premium sunscreen face lotion sun bum face 50,octocrylene; avobenzone; octisalate; homosalate,sun bum llc,small molecule,lotion,topical,approved,approved,17.07.2018,2018,,,,,,,,,,,HealthCanada,,,,sun bum,,96970
02478994,,premium sunscreen lotion sun bum 30,avobenzone; octocrylene; octisalate; homosalate,sun bum llc,small molecule,lotion,topical,marketed,approved,08.04.2019,2019,,,,,,,,,,,HealthCanada,,,,sun bum,,96971
02479001,,premium sunscreen lotion sun bum 50,homosalate; octisalate; octocrylene; avobenzone,sun bum llc,small molecule,lotion,topical,marketed,approved,08.04.2019,2019,,,,,,,,,,,HealthCanada,,,,sun bum,,96972
02479028,,benefiance wrinkle smoothing day cream,oxybenzone; octocrylene; avobenzone; homosalate; octinoxate,shiseido americas corporation dist,small molecule,cream,topical,approved,approved,17.07.2018,2018,,,,,,,,,,,HealthCanada,,,,shiseido,,96973
02479044,,original / originale dandruff pyrithione zinc shampoo & conditioner,pyrithione zinc,apollo health and beauty care,small molecule,shampoo,topical,approved,approved,17.07.2018,2018,,,,,,,,,,,HealthCanada,,,,apollo,,96975
02479052,,green apple pomme verte dandruff pyrithione zinc shampoo,pyrithione zinc,apollo health and beauty care,small molecule,shampoo,topical,approved,approved,17.07.2018,2018,,,,,,,,,,,HealthCanada,,,,apollo,,96976
02479079,,cleansing nettoyant dandruff pyrithione zinc shampoo,pyrithione zinc,apollo health and beauty care,small molecule,shampoo,topical,approved,approved,17.07.2018,2018,,,,,,,,,,,HealthCanada,,,,apollo,,96978
02479087,,jamp-tenofovir,tenofovir disoproxil fumarate,jamp pharma corporation,small molecule,tablet,oral,approved,approved,24.07.2018,2018,,,,,,,,,,,HealthCanada,,,,jamp,,96979
02479095,,green apple pomme verte dandruff pyrithione zinc shampoo & conditioner,pyrithione zinc,apollo health and beauty care,small molecule,shampoo,topical,approved,approved,18.07.2018,2018,,,,,,,,,,,HealthCanada,,,,apollo,,96980
02479109,,sodium nitroprusside for injection,sodium nitroprusside,marcan pharmaceuticals inc,small molecule,solution,intravenous,approved,approved,20.07.2018,2018,,,,,,,,,,,HealthCanada,,,,marcan,,96981
02479206,,alunbrig,brigatinib,takeda canada inc,small molecule,tablet,oral,approved,approved,26.07.2018,2018,,,,,,,,,,,HealthCanada,,,,takeda,,96982
02479214,,alunbrig,brigatinib,takeda canada inc,small molecule,tablet,oral,approved,approved,26.07.2018,2018,,,,,,,,,,,HealthCanada,,,,takeda,,96983
02479222,,alunbrig,brigatinib,takeda canada inc,small molecule,tablet,oral,approved,approved,26.07.2018,2018,,,,,,,,,,,HealthCanada,,,,takeda,,96984
02479230,,alunbrig,brigatinib,takeda canada inc,small molecule,kit; tablet,oral,approved,approved,26.07.2018,2018,,,,,,,,,,,HealthCanada,,,,takeda,,96985
02479680,,nra-azithromycin,azithromycin (azithromycin dihydrate),nora pharma inc,small molecule,tablet,oral,approved,approved,02.08.2018,2018,,,,,,,,,,,HealthCanada,,,,nora,,96991
02479346,,riva-aripiprazole,aripiprazole,laboratoire riva inc.,small molecule,tablet,oral,approved,approved,30.07.2018,2018,,,,,,,,,,,HealthCanada,,,,riva,,96994
02479354,,riva-aripiprazole,aripiprazole,laboratoire riva inc.,small molecule,tablet,oral,approved,approved,30.07.2018,2018,,,,,,,,,,,HealthCanada,,,,riva,,96995
02479362,,riva-aripiprazole,aripiprazole,laboratoire riva inc.,small molecule,tablet,oral,approved,approved,30.07.2018,2018,,,,,,,,,,,HealthCanada,,,,riva,,96996
02479370,,riva-aripiprazole,aripiprazole,laboratoire riva inc.,small molecule,tablet,oral,approved,approved,30.07.2018,2018,,,,,,,,,,,HealthCanada,,,,riva,,96997
02479389,,riva-aripiprazole,aripiprazole,laboratoire riva inc.,small molecule,tablet,oral,approved,approved,30.07.2018,2018,,,,,,,,,,,HealthCanada,,,,riva,,96998
02479397,,riva-aripiprazole,aripiprazole,laboratoire riva inc.,small molecule,tablet,oral,approved,approved,30.07.2018,2018,,,,,,,,,,,HealthCanada,,,,riva,,96999
02479737,,nra-celecoxib,celecoxib,nora pharma inc,small molecule,capsule,oral,approved,approved,02.08.2018,2018,,,,,,,,,,,HealthCanada,,,,nora,,97003
02479745,,nra-celecoxib,celecoxib,nora pharma inc,small molecule,capsule,oral,approved,approved,02.08.2018,2018,,,,,,,,,,,HealthCanada,,,,nora,,97004
02479419,,myl-esomeprazole,esomeprazole (esomeprazole magnesium trihydrate),mylan pharmaceuticals ulc,small molecule,tablet,oral,approved,approved,26.07.2018,2018,,,,,,,,,,,HealthCanada,,,,mylan,,97006
02479427,,myl-esomeprazole,esomeprazole (esomeprazole magnesium trihydrate),mylan pharmaceuticals ulc,small molecule,tablet,oral,approved,approved,26.07.2018,2018,,,,,,,,,,,HealthCanada,,,,mylan,,97007
02479753,,nra-paroxetine,paroxetine (paroxetine hydrochloride hemihydrate),nora pharma inc,small molecule,tablet,oral,approved,approved,02.08.2018,2018,,,,,,,,,,,HealthCanada,,,,nora,,97010
02479761,,nra-paroxetine,paroxetine (paroxetine hydrochloride hemihydrate),nora pharma inc,small molecule,tablet,oral,approved,approved,02.08.2018,2018,,,,,,,,,,,HealthCanada,,,,nora,,97011
02479788,,nra-paroxetine,paroxetine (paroxetine hydrochloride hemihydrate),nora pharma inc,small molecule,tablet,oral,approved,approved,02.08.2018,2018,,,,,,,,,,,HealthCanada,,,,nora,,97012
02479451,,auro-eletriptan,eletriptan (eletriptan hydrobromide),auro pharma inc,small molecule,tablet,oral,approved,approved,26.07.2018,2018,,,,,,,,,,,HealthCanada,,,,auro,,97013
02479478,,auro-eletriptan,eletriptan (eletriptan hydrobromide),auro pharma inc,small molecule,tablet,oral,approved,approved,26.07.2018,2018,,,,,,,,,,,HealthCanada,,,,auro,,97014
02479508,,mint-atorvastatin,atorvastatin (atorvastatin calcium),mint pharmaceuticals inc,small molecule,tablet,oral,approved,approved,01.08.2018,2018,,,,,,,,,,,HealthCanada,,,,mint,,97017
02479516,,mint-atorvastatin,atorvastatin (atorvastatin calcium),mint pharmaceuticals inc,small molecule,tablet,oral,approved,approved,01.08.2018,2018,,,,,,,,,,,HealthCanada,,,,mint,,97018
02479524,,mint-atorvastatin,atorvastatin (atorvastatin calcium),mint pharmaceuticals inc,small molecule,tablet,oral,approved,approved,01.08.2018,2018,,,,,,,,,,,HealthCanada,,,,mint,,97019
02479532,,mint-atorvastatin,atorvastatin (atorvastatin calcium),mint pharmaceuticals inc,small molecule,tablet,oral,approved,approved,01.08.2018,2018,,,,,,,,,,,HealthCanada,,,,mint,,97020
02479869,,benylin extra strength sore throat & cough,guaifenesin; menthol,mcneil consumer healthcare division of johnson & johnson inc,small molecule,syrup,oral,approved,approved,03.08.2018,2018,,,,,,,,,,,HealthCanada,,,,johnson & johnson,,97024
02479613,,aimovig,erenumab,novartis pharmaceuticals canada inc,biologics,solution,subcutaneous,approved,approved,01.08.2018,2018,,,,,,,,,,,HealthCanada,,,,novartis,,97029
02479621,,hemlibra,emicizumab,hoffmann-la roche limited,biologics,solution,subcutaneous,approved,approved,02.08.2018,2018,,,,,,,,,,,HealthCanada,,,,hoffmann-la roche,,97030
02479648,,hemlibra,emicizumab,hoffmann-la roche limited,biologics,solution,subcutaneous,approved,approved,02.08.2018,2018,,,,,,,,,,,HealthCanada,,,,hoffmann-la roche,,97031
02479656,,hemlibra,emicizumab,hoffmann-la roche limited,biologics,solution,subcutaneous,approved,approved,02.08.2018,2018,,,,,,,,,,,HealthCanada,,,,roche,,97032
02479664,,hemlibra,emicizumab,hoffmann-la roche limited,biologics,solution,subcutaneous,approved,approved,02.08.2018,2018,,,,,,,,,,,HealthCanada,,,,hoffmann-la roche,,97033
02479672,,auro-tramadol,tramadol hydrochloride,auro pharma inc,small molecule,tablet,oral,approved,approved,08.08.2018,2018,,,,,,,,,,,HealthCanada,,,,auro,,97034
02479710,,allergy formula caplets,diphenhydramine hydrochloride,sigma life sciences inc.,small molecule,tablet,oral,approved,approved,01.08.2018,2018,,,,,,,,,,,HealthCanada,,,,sigma,,97036
02479729,,alcohol free foaming hand sanitizer,benzalkonium chloride,"vi-jon, llc",small molecule,solution,topical,approved,approved,01.08.2018,2018,,,,,,,,,,,HealthCanada,,,,vi-jon,,97037
02479796,,accel-sildenafil,sildenafil (sildenafil citrate),accel pharma inc,small molecule,tablet,oral,approved,approved,03.08.2018,2018,,,,,,,,,,,HealthCanada,,,,accel,,97038
02479834,,perindopril erbumine/ indapamide,perindopril erbumine; indapamide,sivem pharmaceuticals ulc,small molecule,tablet,oral,approved,approved,10.08.2018,2018,,,,,,,,,,,HealthCanada,,,,sivem,,97039
02479818,,accel-sildenafil,sildenafil (sildenafil citrate),accel pharma inc,small molecule,tablet,oral,approved,approved,03.08.2018,2018,,,,,,,,,,,HealthCanada,,,,accel,,97040
02479826,,accel-sildenafil,sildenafil (sildenafil citrate),accel pharma inc,small molecule,tablet,oral,approved,approved,03.08.2018,2018,,,,,,,,,,,HealthCanada,,,,accel,,97041
02479842,,perindopril erbumine/ indapamide hd,indapamide; perindopril erbumine,sivem pharmaceuticals ulc,small molecule,tablet,oral,approved,approved,10.08.2018,2018,,,,,,,,,,,HealthCanada,,,,sivem,,97042
02479877,,perindopril erbumine,perindopril erbumine,sivem pharmaceuticals ulc,small molecule,tablet,oral,approved,approved,03.08.2018,2018,,,,,,,,,,,HealthCanada,,,,sivem,,97044
02479885,,perindopril erbumine,perindopril erbumine,sivem pharmaceuticals ulc,small molecule,tablet,oral,approved,approved,03.08.2018,2018,,,,,,,,,,,HealthCanada,,,,sivem,,97045
02479893,,perindopril erbumine,perindopril erbumine,sivem pharmaceuticals ulc,small molecule,tablet,oral,approved,approved,03.08.2018,2018,,,,,,,,,,,HealthCanada,,,,sivem,,97046
02479907,,accel-entecavir,entecavir (entecavir monohydrate),accel pharma inc,small molecule,tablet,oral,approved,approved,16.08.2018,2018,,,,,,,,,,,HealthCanada,,,,accel,,97047
02479923,,m-clindamycin,clindamycin (clindamycin hydrochloride),mantra pharma inc,small molecule,capsule,oral,approved,approved,08.08.2018,2018,,,,,,,,,,,HealthCanada,,,,mantra,,97049
02479931,,m-clindamycin,clindamycin (clindamycin hydrochloride),mantra pharma inc,small molecule,capsule,oral,approved,approved,08.08.2018,2018,,,,,,,,,,,HealthCanada,,,,mantra,,97050
02480018,,olumiant,baricitinib,eli lilly canada inc,small molecule,tablet,oral,approved,approved,17.08.2018,2018,,,,,,,,,,,HealthCanada,,,,eli lilly,,97056
02480026,,taro-melphalan,buffer solution; melphalan (melphalan hydrochloride),taro pharmaceuticals inc,small molecule,powder; kit,intravenous; intraarterial,approved,approved,10.08.2018,2018,,,,,,,,,,,HealthCanada,,,,taro,,97057
02480034,,potassium chloride for injection concentrate,potassium chloride,omega laboratories limited,small molecule,solution,intravenous,approved,approved,13.08.2018,2018,,,,,,,,,,,HealthCanada,,,,omega,,97058
02480042,,leucovorin calcium injection,leucovorin (leucovorin calcium),generic medical partners inc,small molecule,solution,intramuscular; intravenous,approved,approved,16.08.2018,2018,,,,,,,,,,,HealthCanada,,,,generic medical partners,,97064
02480131,,covergirl trublend base business skin primer base pour la peau,ensulizole,hfc prestige international canada inc,small molecule,emulsion,topical,marketed,approved,11.12.2018,2018,,,,,,,,,,,HealthCanada,,,,hfc,,97065
02480107,,mar-methimazole,methimazole,marcan pharmaceuticals inc,small molecule,tablet,oral,approved,approved,14.08.2018,2018,,,,,,,,,,,HealthCanada,,,,marcan,,97066
02480115,,mar-methimazole,methimazole,marcan pharmaceuticals inc,small molecule,tablet,oral,approved,approved,14.08.2018,2018,,,,,,,,,,,HealthCanada,,,,marcan,,97067
02480158,,nuceiva,prabotulinumtoxina,evolus incorporated,biologics,powder,intramuscular,approved,approved,16.08.2018,2018,,,,,,,,,,,HealthCanada,,,,evolus,,97069
02480298,,mar-cinacalcet,cinacalcet (cinacalcet hydrochloride),marcan pharmaceuticals inc,small molecule,tablet,oral,approved,approved,24.08.2018,2018,,,,,,,,,,,HealthCanada,,,,marcan,,97082
02480301,,mar-cinacalcet,cinacalcet (cinacalcet hydrochloride),marcan pharmaceuticals inc,small molecule,tablet,oral,approved,approved,24.08.2018,2018,,,,,,,,,,,HealthCanada,,,,marcan,,97083
02480328,,mar-cinacalcet,cinacalcet (cinacalcet hydrochloride),marcan pharmaceuticals inc,small molecule,tablet,oral,approved,approved,24.08.2018,2018,,,,,,,,,,,HealthCanada,,,,marcan,,97084
02480336,,dye free fragrance free antibacterial foaming hand soap,benzalkonium chloride,"vi-jon, llc",small molecule,solution,topical,approved,approved,23.08.2018,2018,,,,,,,,,,,HealthCanada,,,,vi-jon,,97086
02480425,,signifor lar,pasireotide (pasireotide pamoate),recordati rare diseases canada inc,peptides and proteins,powder; kit,intramuscular,approved,approved,29.08.2018,2018,,,,,,,,,,,HealthCanada,,,,recordati,,97095
02480433,,signifor lar,pasireotide (pasireotide pamoate),recordati rare diseases canada inc,peptides and proteins,kit; powder,intramuscular,approved,approved,29.08.2018,2018,,,,,,,,,,,HealthCanada,,,,recordati,,97096
02480980,,bio-sildenafil,sildenafil (sildenafil citrate),biomed pharma,small molecule,tablet,oral,approved,approved,20.09.2018,2018,,,,,,,,,,,HealthCanada,,,,biomed,,97103
02480514,,kymriah,tisagenlecleucel,novartis pharmaceuticals canada inc,cell and gene therapy,suspension,intravenous,approved,approved,05.09.2018,2018,,,,,,,,,,,HealthCanada,,,,novartis,,97104
02480492,,taro-pemetrexed,pemetrexed (pemetrexed disodium),taro pharmaceuticals inc,small molecule,powder,intravenous,approved,approved,30.08.2018,2018,,,,,,,,,,,HealthCanada,,,,taro,,97105
02480506,,applaud ab antiseptic lotionized hand soap,chloroxylenol,zep manufacturing company of canada,small molecule,lotion,topical,approved,approved,30.08.2018,2018,,,,,,,,,,,HealthCanada,,,,zep,,97106
